epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.3058,1.43996,1.97046,1.35294,0.44744,0.79352,0.47477,0.2551,1.53551,2.36502,1.45446,0.000662722,0.000662722,0.000662722
2,111.709,1.45339,1.38231,1.35785,0.90792,0.91117,0.95521,0.50304,1.55021,1.07439,1.45111,0.00129649,0.00129649,0.00129649
3,163.671,1.49785,1.1846,1.39424,0.83773,0.91117,0.9004,0.4863,1.52594,0.96937,1.4251,0.00189725,0.00189725,0.00189725
4,216.649,1.48362,1.03979,1.37364,0.89241,0.89685,0.94292,0.4936,1.58899,0.90916,1.47387,0.0018515,0.0018515,0.0018515
5,268.76,1.46474,0.95707,1.36103,0.95059,0.93723,0.97369,0.54316,1.45454,0.7798,1.37626,0.001802,0.001802,0.001802
6,322.586,1.43253,0.88982,1.32652,0.91081,0.93983,0.96353,0.54639,1.4799,0.79557,1.372,0.0017525,0.0017525,0.0017525
7,374.737,1.40931,0.84263,1.31736,0.9422,0.93409,0.96241,0.55811,1.47475,0.74357,1.35097,0.001703,0.001703,0.001703
8,428.828,1.42755,0.8223,1.36179,0.95023,0.94842,0.98113,0.56807,1.45578,0.72824,1.38714,0.0016535,0.0016535,0.0016535
9,480.981,1.40831,0.77807,1.3295,0.91727,0.90831,0.94258,0.53441,1.49168,0.77108,1.42707,0.001604,0.001604,0.001604
10,533.876,1.37015,0.764,1.31922,0.97949,0.95782,0.98191,0.56789,1.4595,0.63495,1.34482,0.0015545,0.0015545,0.0015545
11,585.575,1.38657,0.74193,1.32217,0.95545,0.95989,0.97955,0.57823,1.43834,0.64796,1.35234,0.001505,0.001505,0.001505
12,639.818,1.36346,0.7216,1.31128,0.96528,0.95604,0.9715,0.51533,1.55109,0.67519,1.48248,0.0014555,0.0014555,0.0014555
13,691.323,1.3852,0.72706,1.31374,0.97368,0.98281,0.99043,0.57269,1.43313,0.58487,1.3413,0.001406,0.001406,0.001406
14,744.38,1.3453,0.68976,1.28838,0.95137,0.98567,0.97328,0.56465,1.4687,0.61223,1.34721,0.0013565,0.0013565,0.0013565
15,795.81,1.34807,0.67469,1.28851,0.96685,0.97135,0.97319,0.55599,1.43841,0.61039,1.34252,0.001307,0.001307,0.001307
16,848.915,1.3366,0.67979,1.28245,0.97695,0.97142,0.9829,0.59494,1.41427,0.58514,1.33416,0.0012575,0.0012575,0.0012575
17,900.182,1.32226,0.65941,1.28635,0.96635,0.97135,0.97594,0.59521,1.40553,0.56294,1.32041,0.001208,0.001208,0.001208
18,954.072,1.33088,0.65418,1.28938,0.97949,0.9581,0.99173,0.58226,1.43878,0.57282,1.36216,0.0011585,0.0011585,0.0011585
